CustomerID,Lookalikes
C0001,"[('C0120', np.float64(0.9999999863980914)), ('C0102', np.float64(0.9999999700909556)), ('C0148', np.float64(0.9999999478203021))]"
C0002,"[('C0134', np.float64(0.9999997912480557)), ('C0034', np.float64(0.9999997672841637)), ('C0088', np.float64(0.999999760408134))]"
C0003,"[('C0031', np.float64(0.9999999713493515)), ('C0025', np.float64(0.999999925816807)), ('C0076', np.float64(0.9999999071299613))]"
C0004,"[('C0169', np.float64(0.9999999920536283)), ('C0165', np.float64(0.9999999829067344)), ('C0174', np.float64(0.9999999640924689))]"
C0005,"[('C0146', np.float64(0.9999999352827816)), ('C0007', np.float64(0.9999999313607857)), ('C0028', np.float64(0.9999998779556712))]"
C0006,"[('C0126', np.float64(0.9999999996538319)), ('C0171', np.float64(0.9999999952750893)), ('C0118', np.float64(0.9999999943624589))]"
C0007,"[('C0146', np.float64(0.9999999999389617)), ('C0005', np.float64(0.9999999313607857)), ('C0054', np.float64(0.9999999239641311))]"
C0008,"[('C0160', np.float64(0.9999999833233437)), ('C0038', np.float64(0.9999999717420458)), ('C0113', np.float64(0.9999999445815714))]"
C0009,"[('C0198', np.float64(0.9999999901629574)), ('C0061', np.float64(0.9999994344155438)), ('C0103', np.float64(0.9999993699209405))]"
C0010,"[('C0049', np.float64(0.9999996628853765)), ('C0091', np.float64(0.999999371886926)), ('C0111', np.float64(0.9999993641615729))]"
C0011,"[('C0153', np.float64(0.9999999919473085)), ('C0137', np.float64(0.999999981961806)), ('C0191', np.float64(0.9999999788065334))]"
C0012,"[('C0065', np.float64(0.9999999654452421)), ('C0153', np.float64(0.9999999581212303)), ('C0102', np.float64(0.9999999465001633))]"
C0013,"[('C0099', np.float64(0.9999999915861797)), ('C0082', np.float64(0.9999999760965561)), ('C0188', np.float64(0.9999999747984436))]"
C0014,"[('C0010', np.float64(0.9999913883236659)), ('C0119', np.float64(0.9999913117105527)), ('C0172', np.float64(0.9999912929985303))]"
C0015,"[('C0131', np.float64(0.9999998672884234)), ('C0125', np.float64(0.9999997171942063)), ('C0139', np.float64(0.9999996457655895))]"
C0016,"[('C0042', np.float64(0.9999999714982044)), ('C0141', np.float64(0.9999999474611713)), ('C0040', np.float64(0.9999999330320105))]"
C0017,"[('C0165', np.float64(0.9999999633900585)), ('C0169', np.float64(0.9999999534774022)), ('C0004', np.float64(0.9999999526752232))]"
C0018,"[('C0024', np.float64(0.9999999909889686)), ('C0156', np.float64(0.9999999892241446)), ('C0194', np.float64(0.9999999869255106))]"
C0019,"[('C0073', np.float64(0.9999999831457472)), ('C0075', np.float64(0.999999887829359)), ('C0147', np.float64(0.9999997904647168))]"
C0020,"[('C0026', np.float64(0.99999934794154)), ('C0035', np.float64(0.9999993258744518)), ('C0154', np.float64(0.9999992973954278))]"
